Grammar,Swedish,English,Type,Examples
,ovan,above,adverb,
en,lagstiftning,legislation,noun-en,
,militär,military,adjective,
att,toppa,top,verb,
en,sort,variety,noun-en,
en,fördel,advantage,noun-en,
att,skydda,protect,verb,
att,nyttja,use,verb,
att,utnyttja,use,verb,
en,teori,theory,noun-en,
,fransk,french,adjective,
att,pågå,last,verb,
en,samling,collection,noun-en,
ett,flertal,multiple,noun-ett,
,snarare,rather,adverb,
att,försvara,defend,verb,
en,modell,model,noun-en,
,skön,comfortable,adjective,
ett,vapen,arms,noun-ett,
,således,thus,adverb,
en,förening,association,noun-en,
att,lyfta,lift,verb,
en,eftermiddag,afternoon,noun-en,
en,soldat,soldier,noun-en,
att,märka,notice,verb,
en,gemenskap,community,noun-en,
att,ösa,scoop,verb,
,fast,fixed,conj,
,styrka,strength,noun-en,
att,ersätta,replace,verb,
en,kille,boy,noun-en,
,vård,care,noun-en,
,fullt,fully,adverb,
att,ägna,spend,verb,e.g. ägna sig åt
,oavsett,regardless,prep,
en,poäng,point,noun-en,
att,satsa,invest,verb,
en,moderat,moderate,noun-en,
att,rida,ride,verb,
,jo,yes,interj,
en,tisdag,tuesday,noun-en,
,död,death,adjective,
,allmänt,generally,adverb,
att,avsluta,end,verb,
att,sova,sleep,verb,
,inne,in,adverb,
en,flicka,girl,noun-en,
,sedan,then,subj,
,total,total,adjective,
,allvarlig,serious,adjective,
,fram,front,adverb,
ett,ljus,light,noun-ett,
en,sjukdom,disease,noun-en,
en,unge,young,noun-en,
,i,in,prep,
en,vikt,weight,noun-en,
,rik,rich,adjective,
en,region,region,noun-en,
ett,samtal,call,noun-ett,
,negativ,negative,adjective,
,mycket,very,pronoun,
,i,in,adverb,
,igång,started,particle,
en,vändning,turn,noun-en,
,antingen,either,conj,
att,föda,food,verb,
,åter,re,adverb,
en,arbetare,worker,noun-en,
att,skjuta,shoot,verb,e.g. skjuta upp
en,tradition,tradition,noun-en,
att,hämta,retrieve,verb,e.g. hämta ut
en,församling,assembly,noun-en,
ett,hav,sea,noun-ett,
,energi,energy,noun-en,
,bred,wide,adjective,
,vad,what,prep,
,fast,fixed,particle,
att,påpeka,point out,verb,
att,bättra,improve,verb,e.g. bättra sig
att,skaffa,get,verb,
att,utgå,deleted,verb,
,samtlig,samtlig,adjective,
att,stärka,strengthen,verb,
en,läkare,doctor,noun-en,
,fattig,poor,adjective,
ett,grepp,grip,noun-ett,
,hej,hello,interj,
att,utsätta,expose,verb,e.g. utsätta sig för
,spännande,exciting,adjective,
,fort,fast,adverb,
,sikt,term,noun-en,
en,revolution,revolution,noun-en,
ett,brev,mail,noun-ett,
,personal,staff,noun-en,
en,skada,damage,noun-en,
,illa,badly,adverb,
att,kämpa,fight,verb,
,alltför,too,adverb,
ett,tecken,sign,noun-ett,
en,siffra,figure,noun-en,
,tydligt,clearly,adverb,
,än,than,adverb,
,hårt,hard,adverb,
,absolut,absolutely,adverb,
att,eka,echo,verb,
,engelsk,english,adjective,
,praktik,internship,noun-en,
,förmodligen,probably,adverb,
att,hoppa,jump,verb,
en,morgon,morning,noun-en,e.g. god morgon
en,tjej,girl,noun-en,
,konstig,weird,adjective,
en,union,union,noun-en,
,kommande,coming,adjective,
att,avgöra,determine,verb,
en,chef,manager,noun-en,
,vis,way,noun-ett,e.g. på så vis/på sätt och vis
en,strid,battle,noun-en,
att,sända,send,verb,
att,missa,miss,verb,
att,bedriva,carry,verb,
,etcetera,etc.,adverb,
att,anföra,leading,verb,
,varm,warm,adjective,
,hit,here,adverb,
en,berättelse,story,noun-en,
,produktion,production,noun-en,
ett,kapitel,chapter,noun-ett,
att,hindra,prevent,verb,
,konst,art,noun-en,
,speciell,special,adjective,
ett,allvar,seriously,noun-ett,e.g. på allvar
,grön,green,adjective,
en,vår,spring,noun-en,e.g. i våras
att,meddela,inform,verb,
,omöjlig,impossible,adjective,
att,tillämpa,apply,verb,
ett,skydd,protection,noun-ett,
,hittills,to date,adverb,
,sällan,rarely,adverb,
en,position,position,noun-en,
en,behandling,treatment,noun-en,
,omfattande,extensive,adjective,
en,skog,forest,noun-en,
att,kritisera,criticize,verb,
en,förklaring,explanation,noun-en,
att,springa,run,verb,e.g. springa bort
,oerhört,extremely,adverb,
att,uppfatta,perceive,verb,
ett,foto,photo,noun-ett,
,islam,islam,noun-en,
att,stänga,close,verb,e.g. stänga av
en,aning,idea,noun-en,
ett,försvar,defense,noun-ett,
en,meter,meter,noun-en,
en,evolution,evolution,noun-en,
en,funktion,feature,noun-en,
en,dotter,daughter,noun-en,
en,värdering,valuation,noun-en,
att,råda,advise,verb,
en,ersättning,replacement,noun-en,
att,slippa,avoid,verb,
,självklart,obvious,adverb,
,lämplig,suitable,adjective,
ett,ting,things,noun-ett,
ett,minne,memory,noun-ett,
en,strategi,strategy,noun-en,
att,dyka,dive,verb,e.g. dyka upp
att,orka,cope,verb,
att,kontrollera,verify,verb,
att,planera,plan,verb,
en,färg,color,noun-en,
att,lova,promise,verb,
att,citera,quote,verb,
,finansiell,financial,adjective,
,ständigt,constantly,adverb,
ett,spår,track,noun-ett,
,kall,cold,adjective,
,vuxen,adult,adjective,
en,allians,alliance,noun-en,
en,faktor,factor,noun-en,
en,kvalitet,quality,noun-en,
,upp,up,adverb,
,utländsk,foreign,adjective,
,svag,weak,adjective,
att,sköta,handle,verb,
att,vägra,refuse,verb,
ett,rike,kingdom,noun-ett,
att,framgå,apparent,verb,
,judisk,jew,adjective,
att,studera,study,verb,
,farlig,dangerous,adjective,
en,framgång,success,noun-en,
att,tolka,interpret,verb,
,billig,cheap,adjective,
,iväg,away,particle,e.g. gå iväg
en,student,student,noun-en,
,och,and,adverb,
,visserligen,admittedly,adverb,
en,vara,be,noun-en,
ett,undantag,exception,noun-ett,
,tillgänglig,available,adjective,
,enorm,huge,adjective,
att,behålla,retain,verb,
att,dricka,drink,verb,
en,aktion,action,noun-en,
att,bry,bother,verb,e.g. bry sig om
,relativt,relatively,adverb,
,tung,heavy,adjective,
en,arbetsgivare,employer,noun-en,
,med,with,prep,
,tvärtom,on the contrary,adverb,
att,notera,note,verb,
en,nation,nation,noun-en,
att,sänka,lower,verb,
ett,ärende,matter,noun-ett,
en,givare,giver,noun-en,
en,kull,batch,noun-en,
,nyligen,recently,adverb,
en,rättelse,amendment,noun-en,
,delvis,partly,adverb,
att,medföra,result,verb,
att,ifrågasätta,question,verb,
,för,for,adverb,
ett,län,county,noun-ett,
en,gata,street,noun-en,
,medveten,aware,adjective,
en,serie,series,noun-en,
,rimlig,reasonable,adjective,
,ty,for,conj,
en,invandrare,immigrant,noun-en,
en,dörr,door,noun-en,
ett,direktiv,directive,noun-ett,
att,stiga,rise,verb,e.g. stiga upp
att,tiga,silent,verb,
en,fot,foot,noun-en,
,begränsad,limited,adjective,
,vag,vague,adjective,
,äntligen,finally,adverb,
,vänster,left,adjective,
,ner,down,adverb,
att,väcka,wake,verb,
att,leta,look,verb,
en,häst,horse,noun-en,
en,kategori,category,noun-en,
,brittisk,british,adjective,
en,följd,sequence,noun-en,
en,ed,oath,noun-en,
,fred,peace,noun-en,
,traditionell,traditional,adjective,
en,användning,use,noun-en,
att,riskera,risk,verb,
att,tappa,lose,verb,
,inkomst,income,noun-en,
,nöjd,satisfied,adjective,
,kläder,clothes,noun,(plural)
att,spara,save,verb,
en,styrelse,board,noun-en,
en,intervju,interview,noun-en,
,starkt,strong,adverb,
,slutligen,finally,adverb,
en,bit,bit,noun-en,
,muslimsk,muslim,adjective,
,vetenskaplig,scientific,adjective,
,överens,agreed,adverb,
,framtida,future,adjective,
ett,bevis,evidence,noun-ett,
,fast,fixed,adjective,
,sexuell,sexual,adjective,
,exakt,exactly,adverb,
,arbetsmarknad,labor market,noun-en,e.g. arbetsmarknaden
,underbar,wonderful,adjective,
en,post,mail,noun-en,
,extra,extra,adjective,
ett,offer,victims,noun-ett,
en,sektor,sector,noun-en,
en,vinst,profit,noun-en,
,England,england,proper name,
ett,inflytande,influence,noun-ett,
ett,budskap,message,noun-ett,
att,klicka,click,verb,
ett,tips,tip,noun-ett,
ett,världskrig,world war,noun-ett,
,med,with,prep,
,självklar,obvious,adjective,
en,båt,boat,noun-en,
,borta,away,adverb,
,regional,regional,adjective,
,framåt,forward,adverb,
en,karaktär,character,noun-en,
en,skiva,disc,noun-en,
,omkring,about,adverb,
ett,ansikte,face,noun-ett,
,i,in,prep,
en,aktivitet,activity,noun-en,
en,ost,cheese,noun-en,
ett,fängelse,prison,noun-ett,
,motsvarande,corresponding,adjective,
att,synas,appear,verb,
en,mor,mother,noun-en,
,an,an,particle,
,samman,together,particle,
,ända,end,adverb,
en,ledamot,commissioner,noun-en,
,i,in,prep,
,civil,civil,adjective,
,uppenbar,obvious,adjective,
,skull,sake,noun,e.g. för ngns skull
,arbetslöshet,unemployment,noun-en,
,fysisk,physical,adjective,
en,generation,generation,noun-en,
,återigen,again,adverb,
,djup,depth,adjective,
ett,initiativ,initiative,noun-ett,
att,fastställa,determine,verb,
ett,parlament,parliament,noun-ett,
en,säsong,season,noun-en,
,levande,live,adjective,
att,tacka,thank,verb,
att,hota,threaten,verb,
,tusentals,thousands of,adverb,
,eventuell,eventual,adjective,
en,pojke,boy,noun-en,
en,version,version,noun-en,
att,existera,exist,verb,
,trött,tired,adjective,
en,himmel,sky,noun-en,
en,reaktion,reaction,noun-en,
,dyr,expensive,adjective,
,normal,normal,adjective,
att,rikta,direct,verb,
en,kurs,course,noun-en,
ett,påstående,statement,noun-ett,
,märklig,strange,adjective,
,öst,east,noun-en,
en,affär,business,noun-en,
,tidigt,early,adverb,
en,upplevelse,experience,noun-en,
en,riktning,direction,noun-en,
,vetenskap,science,noun-en,
ett,avsnitt,episode,noun-ett,
,handel,trade,noun-en,
en,sträckning,strain,noun-en,
att,locka,attract,verb,
att,redovisa,present,verb,
ett,uttalande,statement,noun-ett,
,respektive,respective,conj,
att,para,pair,verb,e.g. para ihop
att,störa,interfere with,verb,
,ihåg,remember,particle,e.g. komma ihåg
,någonstans,somewhere,adverb,
,respekt,respect,noun-en,
att,rapportera,report,verb,
,knappt,hardly,adverb,
,direkt,immediately,adjective,
,enkelt,easy,adverb,
en,omständighet,circumstance,noun-en,
,hänsyn,regard,noun-en,e.g. ta hänsyn till
,ikväll,tonight,adverb,
att,begära,ask,verb,
en,rubrik,heading,noun-en,
att,producera,produce,verb,
en,utsträckning,extent,noun-en,
,anonym,anonymous,adjective,
att,begå,commit,verb,
,bar,bar,adjective,
en,institution,institution,noun-en,
att,förstöra,destroy,verb,
en,boll,ball,noun-en,
att,grunda,base,verb,
,förbi,past,prep,
,luft,air,noun-en,
,industri,industry,noun-en,
ett,tåg,train,noun-ett,
att,skada,damage,verb,
,nordisk,nordic,adjective,
att,uppfylla,meet,verb,
att,akta,beware,verb,
en,förhandling,negotiation,noun-en,
att,syfta,aim,verb,e.g. syfta på/till
en,bror,brother,noun-en,
en,byggnad,building,noun-en,
en,hälft,half,noun-en,e.g. hälften
en,skrift,writing,noun-en,
,ansvarig,responsible,adjective,
,allmänhet,public,noun-en,e.g. i allmänhet
att,orsaka,cause,verb,
,i,in,prep,
,israelisk,israeli,adjective,
,drygt,over,adverb,
en,lever,liver,noun-en,
en,bloggare,blogger,noun-en,
en,tävling,contest,noun-en,
,kommunikation,communication,noun-en,
,kritisk,critical,adjective,
att,plocka,pick,verb,e.g. plocka upp/ut
en,patient,patient,noun-en,
att,sjunga,sing,verb,
att,vakna,wake,verb,
,hälsa,health,noun-en,
ett,piratparti,pirate portion,noun-ett,e.g. Piratpartiet
ett,centrum,center,noun-ett,
,otroligt,unbelievable,adverb,
,roligt,fun,adverb,
,mörk,dark,adjective,
att,träna,train,verb,
ett,bord,table,noun-ett,
,förrän,before,subj,
,dansk,dane,adjective,
att,vidta,take,verb,
,reda,find,noun-en,e.g. ta reda på
att,mana,mana,verb,
en,väljare,selector,noun-en,
att,uppmana,invite,verb,
en,publik,audience,noun-en,
att,lida,suffer,verb,
ett,motstånd,resistance,noun-ett,
en,lägenhet,apartment,noun-en,
ett,vänsterparti,left,noun-ett,
,rädd,afraid,adjective,
en,användare,user,noun-en,
,inre,internal,adjective,
att,avslöja,reveal,verb,
en,fiende,enemy,noun-en,
ett,lopp,race,noun-ett,
att,återvända,return,verb,
en,utmaning,challenge,noun-en,
ett,hopp,hope,noun-ett,
,konkurrens,competition,noun-en,
en,dröm,dream,noun-en,
en,detalj,detail,noun-en,
,nedan,below,adverb,
att,placera,place,verb,
,litteratur,literature,noun-en,
att,ana,ana,verb,
en,inställning,attitude,noun-en,
en,arm,arm,noun-en,
,lös,loose,adjective,
att,pröva,try,verb,
en,egenskap,property,noun-en,
att,rekommendera,recommend,verb,
,liberal,liberal,adjective,
en,synpunkt,point of view,noun-en,
,undan,away,prep,
,angående,concerning,prep,
,unik,unique,adjective,
en,präst,priest,noun-en,
en,webbplats,website,noun-en,
en,bostad,residence,noun-en,
en,vardag,living,noun-en,
,gratis,free,adverb,
att,återkomma,return,verb,
att,bevisa,prove,verb,
en,anställd,employee,noun-en,
att,förbjuda,prohibit,verb,
att,uttala,express,verb,
en,investering,investment,noun-en,
att,fira,celebrate,verb,
en,försäljning,sale,noun-en,
,populär,popular,adjective,
en,klubb,club,noun-en,
ett,citat,quote,noun-ett,
en,palestinier,palestinian,noun-en,
ett,utrymme,space,noun-ett,
,förr,before,adverb,
,svårt,difficult,adverb,
,stark,strong,adjective,
att,påminna,remind,verb,
en,aktör,actor,noun-en,
,klassisk,classic,adjective,
,omkring,about,prep,
,fokus,focus,noun,e.g. i fokus
,officiell,official,adjective,
att,beröra,touch,verb,
,palestinsk,palestinian,adjective,
en,ägare,owner,noun-en,
ett,kapital,capital,noun-ett,
,relevant,relevant,adjective,
en,minister,minister,noun-en,
att,anpassa,adapt,verb,e.g. anpassa sig
en,glädje,joy,noun-en,
en,titel,title,noun-en,
,något,something,adverb,
en,utgångspunkt,starting point,noun-en,
ett,nätverk,network,noun-ett,
en,scen,scene,noun-en,
,nytta,benefit,noun-en,
,hållbar,sustainable,adjective,
att,begränsa,limit,verb,
ett,sikte,sight,noun-ett,
,snygg,handsome,adjective,
,kvinnlig,female,adjective,
,som,as,adverb,
ett,avstånd,distance,noun-ett,
att,fly,escape,verb,
,betydande,considerable,adjective,
,skyldig,guilty,adjective,
,i,in,adverb,
en,inflation,inflation,noun-en,
ett,ben,bone,noun-ett,
en,definition,definition,noun-en,
,uppmärksamhet,attention,noun-en,
att,ladda,load,verb,e.g. ladda ner
,jul,christmas,noun-en,
,dåligt,badly,adverb,
,kommunal,municipal,adjective,
att,passera,pass,verb,
en,herre,lord,noun-en,
,i,in,prep,
ett,klimat,climate,noun-ett,
,var,where,pronoun,
en,topp,top,noun-en,
,troligen,probably,adverb,
en,kompis,buddy,noun-en,
att,främja,promote,verb,
ett,landsting,county,noun-ett,
att,undersöka,examine,verb,
en,kilometer,kilometer,noun-en,
en,reform,reform,noun-en,
att,testa,test,verb,
,konkret,concrete,adjective,
,rakt,straight,adverb,
,uppenbarligen,obviously,adverb,
,desto,the,adverb,e.g. ju…desto
,socialdemokratisk,socialist,adjective,
en,trupp,squad,noun-en,
,vart,where,adverb,
en,seger,win,noun-en,
ett,centerparti,centrist,noun-ett,e.g. Centerpartiet
en,förlust,loss,noun-en,
en,själ,soul,noun-en,
ett,öde,fate,noun-ett,
ett,mord,murder,noun-ett,
ett,dokument,document,noun-ett,
att,upphöra,cease,verb,
ett,folkparti,liberal party,noun-ett,e.g. Folkpartiet
,kraftigt,vigorously,adverb,
en,middag,dinner,noun-en,
att,reagera,react,verb,
en,hjärna,brain,noun-en,
,kulturell,cultural,adjective,
,södra,southern,adjective,
,fast,fixed,subj,
ett,förtroende,trust,noun-ett,
en,förordning,regulation,noun-en,
,upphovsrätt,copyright,noun-en,
,skuld,debt,noun-en,
en,professor,professor,noun-en,
,inklusive,including,prep,
en,beskrivning,description,noun-en,
en,lycka,happiness,noun-en,
en,skrivning,attribution,noun-en,
ett,yrkande,application,noun-ett,
,kär,in love,adjective,
en,äng,meadow,noun-en,
att,hänvisa,refer,verb,
en,buss,bus,noun-en,
,norra,north,adjective,
,fullständigt,completely,adverb,
en,make,husband,noun-en,
,antagligen,probably,adverb,
ett,plan,plan,noun-ett,
en,stil,style,noun-en,
ett,förbund,covenant,noun-ett,
en,tolkning,interpretation,noun-en,
,utöver,beyond,prep,
en,syster,sister,noun-en,
ett,berg,mountain,noun-ett,
en,motståndare,opponents,noun-en,
,höger,right,adjective,
,praktisk,practical,adjective,
ett,beteende,behavior,noun-ett,
ett,bud,bid,noun-ett,
en,träning,exercise,noun-en,
,vare,to,conj,
ett,äktenskap,marriage,noun-ett,
,grov,bearish,adjective,
,uppe,up,adverb,
ett,inslag,element,noun-ett,
att,förhindra,prevent,verb,
en,delning,sharing,noun-en,
,kapitalism,capitalism,noun-en,
en,bilaga,annex,noun-en,
,tom,empty,adjective,
en,invånare,inhabitant,noun-en,
en,struktur,structure,noun-en,
,politiskt,politically,adverb,
ett,sjukhus,hospital,noun-ett,
,mer,more,adverb,
,främsta,primary,adjective,
,djupt,deep,adverb,
en,visning,viewing,noun-en,
,korrekt,correctly,adjective,
,bäst,best,adverb,
,gentemot,against,prep,
,tack,thanks,prep,
en,aspekt,aspect,noun-en,
att,godkänna,approve,verb,
,felaktig,inaccurate,adjective,
en,dialog,dialogue,noun-en,
en,oro,concern,noun-en,
en,vägg,wall,noun-en,
,kinesisk,chinese,adjective,
,ständig,permanent,adjective,
ett,tema,theme,noun-ett,
en,helhet,whole,noun-en,
en,satsning,investment,noun-en,
,statistik,statistics,noun-en,
att,beräkna,calculate,verb,
ett,resonemang,reasoning,noun-ett,
ett,förbud,prohibition,noun-ett,
en,dollar,dollar,noun-en,
,längs,along,prep,
att,fixa,fix,verb,
en,kollega,colleague,noun-en,
att,inträffa,occur,verb,
,sjukvård,healthcare,noun-en,
att,överleva,survive,verb,
,sannolikt,likely,adverb,
,i,in,adverb,
ett,meddelande,message,noun-ett,
,näringsliv,enterprise,noun-ett,
att,låna,borrow,verb,
en,förståelse,understanding,noun-en,
,möjligen,possibly,adverb,
en,fisk,fish,noun-en,
en,konsument,consumer,noun-en,
att,framhålla,emphasize,verb,
en,storlek,size,noun-en,
en,telefon,phone,noun-en,
ett,kön,sex,noun-ett,
,slut,final,particle,
att,laga,prepare,verb,
en,roman,novel,noun-en,
ett,lån,loan,noun-ett,
att,likna,resemble,verb,
att,lita,rely,verb,e.g. lita på
en,säng,bed,noun-en,
en,rädsla,fear,noun-en,
,övertygad,convinced,adjective,
en,skit,crap,noun-en,(stötande)
ett,tänkande,thinking,noun-ett,
en,arm,arm,noun-en,
ett,bruk,use,noun-ett,
en,radio,radio,noun-en,
att,granska,review,verb,
,i,in,adverb,
att,bekräfta,confirm,verb,
,väder,weather,noun-ett,
ett,hinder,obstacle,noun-ett,
,förut,before,adverb,
,personligen,personally,adverb,
en,bana,path,noun-en,
,reklam,advertising,noun-en,
,trafik,traffic,noun-en,
,ärlig,honest,adjective,
,allting,everything,pronoun,
en,artist,artist,noun-en,
,bröd,bread,noun-ett,
,huruvida,whether,subj,
,utsatt,exposed,adjective,
en,butik,store,noun-en,
